File Number,Date,Source,Allegation,Status,Finding,Case Status
14-0115,06/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
14-0141,07/01/2014,Internal,Use of Force,Completed,Exonerated,
15-0140,08/04/2015,External,Conduct Unbecoming,Completed,No Corrective Action Tak,
15-0191,10/22/2015,External,Abuse of Authority,Completed,Administrative Closure,
14-0220,11/05/2014,External,Courtesy,Completed,No Corrective Action Tak,
14-0159,07/28/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0172,08/13/2014,Internal,Conformance to Law,Completed,Sustained,
13-0291,10/24/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
14-0060,03/27/2014,External,Conduct Unbecoming,Completed,Corrective Action Taken,
15-0227,12/21/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
13-0268,09/26/2013,External,Property,Completed,Corrective Action Taken,
15-0179,09/29/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0090,05/20/2015,External,Courtesy,Completed,No Corrective Action Tak,
15-0161,09/08/2015,External,Conduct Unbecoming,Completed,Corrective Action Taken,
13-0351,01/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
13-0209,08/12/2013,External,Courtesy,Completed,Corrective Action Taken,
14-0135,06/20/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
13-0231,08/28/2013,Internal,Conformance to Law,Completed,Sustained,
14-0191,09/24/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
13-0241,09/09/2013,External,Conf T/L Traffic,Completed,No Corrective Action Tak,
13-0252,09/16/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0143,07/02/2014,Internal,Courtesy,Completed,Corrective Action Taken,
13-0203,08/06/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
15-0060,04/09/2015,Internal,Conformance to Law,Completed,Administrative Closure,
15-0136,08/03/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
13-0328,12/04/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0150,07/14/2014,Internal,Maintenance of Property,Completed,Sustained,
15-0041,03/12/2015,Internal,Absent W/O Leave,Completed,Administrative Closure,
16-0018,01/28/2016,External,Discrim/Race/Sex,Completed,No Corrective Action Tak,
14-0030,02/10/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
13-0331,12/06/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
13-0348,12/31/2013,External,Conf T/L Traffic,Completed,Corrective Action Taken,
15-0050,03/20/2015,Internal,Courtesy,Completed,No Corrective Action Tak,
22-0062,04/11/2022,External,Carry Credent/Identification,Completed,Exonerated,
14-0214,10/22/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
13-0303,11/07/2013,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
13-0305,11/08/2013,External,Conf T/L Traffic,Completed,No Corrective Action Tak,
15-0010,01/23/2015,Internal,Discrimination/Harassment,Completed,Sustained,
14-0097,05/12/2014,External,Conformance to Law,Completed,Exonerated,
13-0292,10/24/2013,Internal,Conduct Unbecoming,Completed,Exonerated,
14-0188,09/22/2014,External,Conformance to Law,Completed,Sustained,
13-0277,10/10/2013,External,Courtesy,Completed,No Corrective Action Tak,
16-0128,06/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
14-0136,06/20/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0001,01/06/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
15-0190,10/19/2015,External,Conformance to Law,Completed,Administrative Closure,
13-0340,12/13/2013,External,Courtesy,Completed,Corrective Action Taken,
13-0255,09/17/2013,External,Use of Force,Completed,Unfounded,
15-0011,01/27/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
15-0177,09/25/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
15-0108,06/18/2015,Internal,Punctuality,Completed,Corrective Action Taken,
13-0350,01/02/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0113,06/29/2015,External,Conduct Unbecoming,Completed,Administrative Closure,
13-0324,12/03/2013,External,Courtesy,Completed,Corrective Action Taken,
13-0227,08/27/2013,Internal,Conformance to Law,Completed,Administrative Closure,
14-0021,02/03/2014,Internal,Conduct Unbecoming,Completed,Insufficent Evidence,
15-0100,06/04/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
13-0308,11/12/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0052,03/14/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0139,06/27/2014,External,Courtesy,Completed,No Corrective Action Tak,
15-0080,05/05/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
13-0290,10/24/2013,External,Abuse of Authority,Completed,No Corrective Action Tak,
15-0121,07/01/2015,Internal,Compliance with Orders,Completed,Corrective Action Taken,
15-0121,07/01/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0065,04/04/2014,External,Property,Completed,Corrective Action Taken,
13-0291,10/24/2013,External,Abuse of Authority,Completed,Declined,
15-0224,12/15/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0048,03/10/2014,Internal,Conduct Unbecoming,Completed,Sustained,
14-0043,03/05/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0111,05/29/2014,External,Courtesy,Completed,No Corrective Action Tak,
15-0094,05/27/2015,External,Discrimination/Harassment,Completed,Insufficent Evidence,
14-0045,03/06/2014,External,Courtesy,Completed,Corrective Action Taken,
15-0211,11/24/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0163,09/08/2015,External,Courtesy,Completed,Unfounded,
15-0086,05/14/2015,External,Courtesy,Completed,No Corrective Action Tak,
14-0096,05/07/2014,Internal,Untruthful Statements,Completed,Sustained,
15-0157,08/25/2015,External,Conduct Unbecoming,Completed,Declined,
16-0053,03/09/2016,External,Courtesy,Completed,No Corrective Action Tak,
13-0334,12/09/2013,External,Conduct Unbecoming,Completed,Corrective Action Taken,
16-0074,04/11/2016,External,Courtesy,Completed,No Corrective Action Tak,
14-0166,08/12/2014,Internal,Conformance to Law,Completed,Administrative Closure,
14-0082,04/24/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
16-0064,03/22/2016,External,Conf T/L Traffic,Completed,No Corrective Action Tak,
14-0014,01/29/2014,Internal,Conformance to Law,Completed,Administrative Closure,
14-0041,03/04/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
