Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2016,Emily J. Vaias,Toll Brothers City Living,Ballard Spahr LLP,,Bethesda Master Plan,510.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=667,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=667
2015,Ellen Coren Bogage,Airbus DS Communications,Chesapeake Public Strategies,,Matters related to procurement of public safety communications services,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=438,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=438
2014,"Stephen J. Orens, Esq.",Amir Afkhami,Miles & Stockbridge,,Zoining Ordinance Revision,960.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=282,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=282
2024,Steve Silverman,Southern Management Corp,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2974,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2974
2015,Nicola Y.Whiteman,Apartment & Office Building Association,Apartment & Office Building Association,,Real Estate & Utility Issues,57452.00,48390.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=370,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=370
2014,Charles Washington,Potomac Electric Power Company,Potomac Electric Power Company,"Jerry Pasternak, Tami Watkins",Any and all matters pertaining to an electric utility.,180.00,119.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=187,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=187
2022,Devorah Stavisky,Jews United for Justice,Jews United for Justice,,"Various bills and county policies related to social, racial, and economic justice, especially focused on matters related to policing and police in schools and rights and protections for renters and workers.",4633.00,806.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2725,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2725
2023,Steve Silverman,Buchanan Partners,"SSGOVRELATIONS,LLC",,Real estate matters,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2774,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2774
2015,Emily J. Vaias,"Abraham Morrison Memorial, LLC",Linowes and Blocher LLP,Samantha Mazo,Downtown Bethesda Sector Plan,9350.00,1250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=401,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=401
2015,Emily J. Vaias,Brookfield Washington LLC,Linowes and Blocher LLP,Samantha Mazo,Water/Sewer Category,11463.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=515,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=515
2015,Peter A Tomao,Coalition for Smarter Growth,Coalition for Smarter Growth,,"Transit issues and smart growth in Montgomery County. Bill 19-15, ITA, BRT, MC24-15",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=545,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=545
